# Citry v1 beta Stage 0 change ledger
# Baseline: B0-20260723T132129Z-53aec721
# Snapshot command: git -c core.quotepath=false status --porcelain=v1 --untracked-files=all
# provisional_path_class is derived from path/status only and must be verified in later stages.
status	path	tracked_state	size_bytes	provisional_path_class	ownership_state	baseline
??	docs/design/alpinejs/component_first_harness.py	untracked	16513	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_scaling_harness.py	untracked	5121	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_scenarios.js	untracked	11199	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_server_ownership_findings.md	untracked	15195	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_server_ownership_harness.py	untracked	27860	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_syntax_browser.py	untracked	8400	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_syntax_report.md	untracked	10729	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_syntax_scenarios.js	untracked	9384	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_syntax_server.py	untracked	8894	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_vertical_harness.py	untracked	10724	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/component_first_vertical_scenarios.js	untracked	2886	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/exploration-alpine-component-first.md	untracked	101549	research_or_design_evidence	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/exploration-client-props-passing.md	untracked	37419	research_or_design_evidence	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/exploration-slots-alpine-scope.md	untracked	40347	research_or_design_evidence	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/exploration-x-props-round-2.md	untracked	78471	research_or_design_evidence	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/refs_relay_adapter.js	untracked	5206	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/refs_relay_harness.py	untracked	8905	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/refs_relay_scenarios.js	untracked	19090	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/root_group_adapter.js	untracked	15558	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/root_group_harness.py	untracked	9202	documentation	unassigned	B0-20260723T132129Z-53aec721
??	docs/design/alpinejs/root_group_scenarios.js	untracked	21888	documentation	unassigned	B0-20260723T132129Z-53aec721
